"","Book","Ch","Vs","Incr","Transl","Strongs"
"1","Gen","6","14","1","and shalt pitch","H3722"
"2","Gen","32","20","1","I will appease","H3722"
"3","Exo","29","33","1","those things wherewith the atonement was made,","H3722"
"4","Exo","29","36","1","when thou hast made an atonement","H3722"
"5","Exo","29","37","1","thou shalt make an atonement","H3722"
"6","Exo","30","10","2","shall make an atonement","H3722"
"7","Exo","30","10","3","shall he make atonement","H3722"
"8","Exo","30","15","1","to make an atonement","H3722"
"9","Exo","30","16","1","to make an atonement","H3722"
"10","Exo","32","30","1","I shall make an atonement","H3722"
"11","Lev","1","4","1","for him to make atonement","H3722"
"12","Lev","4","20","1","shall make an atonement","H3722"
"13","Lev","4","26","1","shall make an atonement","H3722"
"14","Lev","4","31","1","shall make an atonement","H3722"
"15","Lev","4","35","1","shall make an atonement","H3722"
"16","Lev","5","6","1","shall make an atonement","H3722"
"17","Lev","5","10","1","shall make an atonement","H3722"
"18","Lev","5","13","1","shall make an atonement","H3722"
"19","Lev","5","16","1","shall make an atonement","H3722"
"20","Lev","5","18","1","shall make an atonement","H3722"
"21","Lev","6","7","1","shall make an atonement","H3722"
"22","Lev","6","30","1","to reconcile","H3722"
"23","Lev","7","7","1","that maketh atonement","H3722"
"24","Lev","8","15","1","it, to make reconciliation","H3722"
"25","Lev","8","34","1","to make an atonement","H3722"
"26","Lev","9","7","2","and make an atonement","H3722"
"27","Lev","9","7","3","and make an atonement","H3722"
"28","Lev","10","17","1","to make atonement","H3722"
"29","Lev","12","7","1","and make an atonement","H3722"
"30","Lev","12","8","1","shall make an atonement","H3722"
"31","Lev","14","18","1","shall make an atonement","H3722"
"32","Lev","14","19","1","and make an atonement","H3722"
"33","Lev","14","20","1","shall make an atonement","H3722"
"34","Lev","14","21","1","to make an atonement","H3722"
"35","Lev","14","29","1","to make an atonement","H3722"
"36","Lev","14","31","1","shall make an atonement","H3722"
"37","Lev","14","53","1","and make an atonement","H3722"
"38","Lev","15","15","1","shall make an atonement","H3722"
"39","Lev","15","30","1","shall make an atonement","H3722"
"40","Lev","16","6","1","and make an atonement","H3722"
"41","Lev","16","10","1","to make an atonement","H3722"
"42","Lev","16","11","1","which is for himself, and shall make an atonement","H3722"
"43","Lev","16","16","1","And he shall make an atonement","H3722"
"44","Lev","16","17","2","in to make an atonement","H3722"
"45","Lev","16","17","3","and have made an atonement","H3722"
"46","Lev","16","18","1","and make an atonement","H3722"
"47","Lev","16","20","1","of reconciling","H3722"
"48","Lev","16","24","1","and make an atonement","H3722"
"49","Lev","16","27","1","to make atonement","H3722"
"50","Lev","16","30","1","shall the priest make an atonement","H3722"
"51","Lev","16","32","1","stead, shall make the atonement,","H3722"
"52","Lev","16","33","2","And he shall make an atonement","H3722"
"53","Lev","16","33","3","and he shall make an atonement","H3722"
"54","Lev","16","33","4","and he shall make an atonement","H3722"
"55","Lev","16","34","1","unto you, to make an atonement","H3722"
"56","Lev","17","11","2","to make an atonement","H3722"
"57","Lev","17","11","3","that maketh an atonement","H3722"
"58","Lev","19","22","1","shall make an atonement","H3722"
"59","Lev","23","28","1","to make an atonement","H3722"
"60","Num","5","8","1","whereby an atonement shall be made","H3722"
"61","Num","6","11","1","and make an atonement","H3722"
"62","Num","8","12","1","to make an atonement","H3722"
"63","Num","8","19","1","and to make an atonement","H3722"
"64","Num","8","21","1","made an atonement","H3722"
"65","Num","15","25","1","shall make an atonement","H3722"
"66","Num","15","28","2","shall make an atonement","H3722"
"67","Num","15","28","3","to make an atonement","H3722"
"68","Num","16","46","1","and make an atonement","H3722"
"69","Num","16","47","1","and made an atonement","H3722"
"70","Num","25","13","1","and made an atonement","H3722"
"71","Num","28","22","1","to make an atonement","H3722"
"72","Num","28","30","1","to make an atonement","H3722"
"73","Num","29","5","1","to make an atonement","H3722"
"74","Num","31","50","1","to make an atonement","H3722"
"75","Num","35","33","1","cannot be cleansed","H3722"
"76","Deu","21","8","2","Be merciful,","H3722"
"77","Deu","21","8","3","shall be forgiven","H3722"
"78","Deu","32","43","1","and will be merciful","H3722"
"79","1Sa","3","14","1","shall not be purged","H3722"
"80","2Sa","21","3","1","for you? and wherewith shall I make the atonement,","H3722"
"81","1Ch","6","49","1","and to make an atonement","H3722"
"82","2Ch","29","24","1","to make an atonement","H3722"
"83","2Ch","30","18","1","pardon","H3722"
"84","Neh","10","33","1","to make an atonement","H3722"
"85","Psa","65","3","1","thou shalt purge them away.^","H3722"
"86","Psa","78","38","1","forgave","H3722"
"87","Psa","79","9","1","us, and purge away","H3722"
"88","Pro","16","6","1","is purged:","H3722"
"89","Pro","16","14","1","will pacify","H3722"
"90","Isa","6","7","1","purged.^","H3722"
"91","Isa","22","14","1","shall not be purged","H3722"
"92","Isa","27","9","1","be purged;","H3722"
"93","Isa","28","18","1","shall be disannulled,","H3722"
"94","Isa","47","11","1","to put it off:","H3722"
"95","Jer","18","23","1","me: forgive","H3722"
"96","Eze","16","63","1","when I am pacified","H3722"
"97","Eze","43","20","1","and purge","H3722"
"98","Eze","43","26","1","shall they purge","H3722"
"99","Eze","45","15","1","to make reconciliation","H3722"
"100","Eze","45","17","1","to make reconciliation","H3722"
"101","Eze","45","20","1","so shall ye reconcile","H3722"
"102","Dan","9","24","1","and to make reconciliation","H3722"
"103","Gen","4","13","1","than I can bear.^","H5375"
"104","Gen","7","17","1","and bare up","H5375"
"105","Gen","13","6","1","was not able to bear","H5375"
"106","Gen","13","10","1","lifted up","H5375"
"107","Gen","13","14","1","from him, Lift up","H5375"
"108","Gen","18","2","1","And he lift up","H5375"
"109","Gen","18","24","1","and not spare","H5375"
"110","Gen","18","26","1","then I will spare","H5375"
"111","Gen","19","21","1","I have accepted","H5375"
"112","Gen","21","16","1","over against him, and lift up","H5375"
"113","Gen","21","18","1","lift up","H5375"
"114","Gen","22","4","1","lifted up","H5375"
"115","Gen","22","13","1","lifted up","H5375"
"116","Gen","24","63","1","and he lifted up","H5375"
"117","Gen","24","64","1","lifted up","H5375"
"118","Gen","27","3","1","Now therefore take,","H5375"
"119","Gen","27","38","1","lifted up","H5375"
"120","Gen","29","1","1","went on","H5375"
"121","Gen","29","11","1","and lifted up","H5375"
"122","Gen","31","10","1","that I lifted up","H5375"
"123","Gen","31","12","1","Lift up","H5375"
"124","Gen","31","17","1","and set","H5375"
"125","Gen","32","20","1","peradventure he will accept","H5375"
"126","Gen","33","1","1","lifted up","H5375"
"127","Gen","33","5","1","And he lifted up","H5375"
"128","Gen","36","7","1","not bear","H5375"
"129","Gen","37","25","2","and they lifted up","H5375"
"130","Gen","37","25","3","bearing","H5375"
"131","Gen","39","7","1","cast","H5375"
"132","Gen","40","13","1","lift up","H5375"
"133","Gen","40","19","1","lift up","H5375"
"134","Gen","40","20","1","and he lifted up","H5375"
"135","Gen","42","26","1","And they laded","H5375"
"136","Gen","43","29","1","And he lifted up","H5375"
"137","Gen","43","34","1","And he took","H5375"
"138","Gen","44","1","1","carry,","H5375"
"139","Gen","45","19","1","and bring","H5375"
"140","Gen","45","23","2","laden","H5375"
"141","Gen","45","23","3","laden","H5375"
"142","Gen","45","27","1","to carry","H5375"
"143","Gen","46","5","2","carried","H5375"
"144","Gen","46","5","3","to carry","H5375"
"145","Gen","47","30","1","and thou shalt carry","H5375"
"146","Gen","50","13","1","carried","H5375"
"147","Gen","50","17","2","Forgive,","H5375"
"148","Gen","50","17","3","and now, we pray thee, forgive","H5375"
"149","Exo","6","8","1","concerning the which I did swear","H5375"
"150","Exo","10","13","1","brought","H5375"
"151","Exo","10","17","1","Now therefore forgive,","H5375"
"152","Exo","10","19","1","which took away","H5375"
"153","Exo","12","34","1","took","H5375"
"154","Exo","14","10","1","lifted up","H5375"
"155","Exo","18","22","1","for thyself, and they shall bear","H5375"
"156","Exo","19","4","1","and how I bare","H5375"
"157","Exo","20","7","2","Thou shalt not take","H5375"
"158","Exo","20","7","3","that taketh","H5375"
"159","Exo","23","1","1","Thou shalt not raise","H5375"
"160","Exo","23","21","1","him not; for he will not pardon","H5375"
"161","Exo","25","14","1","may be borne","H5375"
"162","Exo","25","27","1","to bear","H5375"
"163","Exo","25","28","1","may be borne","H5375"
"164","Exo","27","7","1","to bear","H5375"
"165","Exo","28","12","1","shall bear","H5375"
"166","Exo","28","29","1","shall bear","H5375"
"167","Exo","28","30","1","shall bear","H5375"
"168","Exo","28","38","1","may bear","H5375"
"169","Exo","28","43","1","place; that they bear","H5375"
"170","Exo","30","4","1","to bear","H5375"
"171","Exo","30","12","1","When thou takest","H5375"
"172","Exo","32","32","1","Yet now, if thou wilt forgive","H5375"
"173","Exo","34","7","1","forgiving","H5375"
"174","Exo","35","21","1","stirred him up,","H5375"
"175","Exo","35","26","1","stirred","H5375"
"176","Exo","36","2","1","stirred him up","H5375"
"177","Exo","37","5","1","to bear","H5375"
"178","Exo","37","14","1","to bear","H5375"
"179","Exo","37","15","1","to bear","H5375"
"180","Exo","37","27","1","to bear","H5375"
"181","Exo","38","7","1","to bear","H5375"
"182","Lev","5","1","1","it, then he shall bear","H5375"
"183","Lev","5","17","1","and shall bear","H5375"
"184","Lev","7","18","1","of it shall bear","H5375"
"185","Lev","9","22","1","lifted up","H5375"
"186","Lev","10","4","1","carry","H5375"
"187","Lev","10","5","1","and carried","H5375"
"188","Lev","10","17","1","it you to bear","H5375"
"189","Lev","11","25","1","And whosoever beareth","H5375"
"190","Lev","11","28","1","And he that beareth","H5375"
"191","Lev","11","40","1","he also that beareth","H5375"
"192","Lev","15","10","1","and he that beareth","H5375"
"193","Lev","16","22","1","shall bear","H5375"
"194","Lev","17","16","1","then he shall bear","H5375"
"195","Lev","19","8","1","it shall bear","H5375"
"196","Lev","19","15","1","thou shalt not respect","H5375"
"197","Lev","19","17","1","and not suffer","H5375"
"198","Lev","20","17","1","he shall bear","H5375"
"199","Lev","20","19","1","they shall bear","H5375"
"200","Lev","20","20","1","they shall bear","H5375"
"201","Lev","22","9","1","lest they bear","H5375"
"202","Lev","22","16","1","Or suffer them to bear","H5375"
"203","Lev","24","15","1","shall bear","H5375"
"204","Num","1","2","1","Take","H5375"
"205","Num","1","49","1","neither take","H5375"
"206","Num","1","50","1","thereof, and over all things that belong to it: they shall bear","H5375"
"207","Num","3","40","1","and take","H5375"
"208","Num","4","2","1","Take","H5375"
"209","Num","4","15","1","to bear","H5375"
"210","Num","4","22","1","Take","H5375"
"211","Num","4","25","1","And they shall bear","H5375"
"212","Num","5","31","1","shall bear","H5375"
"213","Num","6","26","1","lift up","H5375"
"214","Num","7","9","1","belonging unto them was that they should bear","H5375"
"215","Num","9","13","1","shall bear","H5375"
"216","Num","10","17","1","bearing","H5375"
"217","Num","10","21","1","bearing","H5375"
"218","Num","11","12","2","unto me, Carry","H5375"
"219","Num","11","12","3","beareth","H5375"
"220","Num","11","14","1","to bear","H5375"
"221","Num","11","17","2","it upon them; and they shall bear","H5375"
"222","Num","11","17","3","with thee, that thou bear","H5375"
"223","Num","13","23","1","and they bare","H5375"
"224","Num","14","1","1","lifted up","H5375"
"225","Num","14","18","1","forgiving","H5375"
"226","Num","14","19","1","and as thou hast forgiven","H5375"
"227","Num","14","30","1","H5375","H5375"
"228","Num","14","33","1","and bear","H5375"
"229","Num","14","34","1","shall ye bear","H5375"
"230","Num","16","3","1","them: wherefore then lift ye up","H5375"
"231","Num","16","15","1","I have not taken","H5375"
"232","Num","18","1","2","with thee shall bear","H5375"
"233","Num","18","1","3","with thee shall bear","H5375"
"234","Num","18","22","1","lest they bear","H5375"
"235","Num","18","23","1","and they shall bear","H5375"
"236","Num","18","32","1","And ye shall bear","H5375"
"237","Num","23","7","1","And he took up","H5375"
"238","Num","23","18","1","And he took up","H5375"
"239","Num","23","24","1","and lift up","H5375"
"240","Num","24","2","1","lifted up","H5375"
"241","Num","24","3","1","And he took up","H5375"
"242","Num","24","7","1","shall be exalted.^","H5375"
"243","Num","24","15","1","And he took up","H5375"
"244","Num","24","20","1","he took up","H5375"
"245","Num","24","21","1","and took up","H5375"
"246","Num","24","23","1","And he took up","H5375"
"247","Num","26","2","1","Take","H5375"
"248","Num","30","15","1","them; then he shall bear","H5375"
"249","Num","31","26","1","Take","H5375"
"250","Num","31","49","1","have taken","H5375"
"251","Deu","1","9","1","to bear","H5375"
"252","Deu","1","12","1","can I myself alone bear","H5375"
"253","Deu","1","31","2","bare","H5375"
"254","Deu","1","31","3","doth bear","H5375"
"255","Deu","3","27","1","and lift up","H5375"
"256","Deu","4","19","1","And lest thou lift up","H5375"
"257","Deu","5","11","2","Thou shalt not take","H5375"
"258","Deu","5","11","3","that taketh","H5375"
"259","Deu","10","8","1","to bear","H5375"
"260","Deu","10","17","1","which regardeth","H5375"
"261","Deu","12","26","1","thou shalt take,","H5375"
"262","Deu","14","24","1","to carry","H5375"
"263","Deu","24","15","1","and setteth","H5375"
"264","Deu","28","49","1","shall bring","H5375"
"265","Deu","28","50","1","which shall not regard","H5375"
"266","Deu","31","9","1","which bare","H5375"
"267","Deu","31","25","1","which bare","H5375"
"268","Deu","32","11","1","them, beareth","H5375"
"269","Deu","32","40","1","For I lift up","H5375"
"270","Deu","33","3","1","every one shall receive","H5375"
"271","Jos","3","3","1","bearing","H5375"
"272","Jos","3","6","2","Take up","H5375"
"273","Jos","3","6","3","And they took up","H5375"
"274","Jos","3","8","1","that bear","H5375"
"275","Jos","3","13","1","that bear","H5375"
"276","Jos","3","14","1","bearing","H5375"
"277","Jos","3","15","2","And as they that bare","H5375"
"278","Jos","3","15","3","that bare","H5375"
"279","Jos","3","17","1","that bare","H5375"
"280","Jos","4","3","1","Take","H5375"
"281","Jos","4","8","1","and took up","H5375"
"282","Jos","4","9","1","which bare","H5375"
"283","Jos","4","10","1","which bare","H5375"
"284","Jos","4","16","1","that bear","H5375"
"285","Jos","4","18","1","that bare","H5375"
"286","Jos","5","13","1","that he lifted up","H5375"
"287","Jos","6","4","1","shall bear","H5375"
"288","Jos","6","6","2","unto them, Take up","H5375"
"289","Jos","6","6","3","bear","H5375"
"290","Jos","6","8","1","bearing","H5375"
"291","Jos","6","12","1","took up","H5375"
"292","Jos","6","13","1","bearing","H5375"
"293","Jos","8","33","1","which bare","H5375"
"294","Jos","24","19","1","he will not forgive","H5375"
"295","Jdg","2","4","1","lifted up","H5375"
"296","Jdg","3","18","1","that bare","H5375"
"297","Jdg","8","28","1","so that they lifted up","H5375"
"298","Jdg","9","7","1","and lifted up","H5375"
"299","Jdg","9","48","1","and took","H5375"
"300","Jdg","9","54","1","his armourbearer,","H5375"
"301","Jdg","16","31","1","and took","H5375"
"302","Jdg","19","17","1","And when he had lifted up","H5375"
"303","Jdg","21","2","1","and lifted up","H5375"
"304","Jdg","21","23","1","and took","H5375"
"305","Rth","1","4","1","And they took","H5375"
"306","Rth","1","9","1","them; and they lifted up","H5375"
"307","Rth","1","14","1","And they lifted up","H5375"
"308","Rth","2","18","1","And she took it up,","H5375"
"309","1Sa","2","28","1","to wear","H5375"
"310","1Sa","4","4","1","that they might bring","H5375"
"311","1Sa","6","13","1","and they lifted up","H5375"
"312","1Sa","10","3","2","carrying","H5375"
"313","1Sa","10","3","3","carrying","H5375"
"314","1Sa","10","3","4","carrying","H5375"
"315","1Sa","11","4","1","lifted up","H5375"
"316","1Sa","14","1","1","that bare","H5375"
"317","1Sa","14","3","1","wearing","H5375"
"318","1Sa","14","6","1","that bare","H5375"
"319","1Sa","14","7","1","And his armourbearer","H5375"
"320","1Sa","14","12","2","and his armourbearer,","H5375"
"321","1Sa","14","12","3","unto his armourbearer,","H5375"
"322","1Sa","14","13","2","and his armourbearer","H5375"
"323","1Sa","14","13","3","and his armourbearer","H5375"
"324","1Sa","14","14","1","and his armourbearer","H5375"
"325","1Sa","14","17","1","and his armourbearer","H5375"
"326","1Sa","15","25","1","Now therefore, I pray thee, pardon","H5375"
"327","1Sa","16","21","1","and he became his armourbearer.","H5375"
"328","1Sa","17","7","1","and one bearing","H5375"
"329","1Sa","17","20","1","and took,","H5375"
"330","1Sa","17","34","1","and took","H5375"
"331","1Sa","17","41","1","that bare","H5375"
"332","1Sa","22","18","1","that did wear","H5375"
"333","1Sa","24","16","1","lifted up","H5375"
"334","1Sa","25","28","1","I pray thee, forgive","H5375"
"335","1Sa","25","35","1","and have accepted","H5375"
"336","1Sa","30","4","1","that were with him lifted up","H5375"
"337","1Sa","31","4","2","unto his armourbearer,","H5375"
"338","1Sa","31","4","3","me. But his armourbearer","H5375"
"339","1Sa","31","5","1","And when his armourbearer","H5375"
"340","1Sa","31","6","1","and his armourbearer,","H5375"
"341","2Sa","2","22","1","how then should I hold up","H5375"
"342","2Sa","2","32","1","And they took up","H5375"
"343","2Sa","3","32","1","lifted up","H5375"
"344","2Sa","4","4","1","took him up,","H5375"
"345","2Sa","5","12","1","and that he had exalted","H5375"
"346","2Sa","5","21","1","burned","H5375"
"347","2Sa","6","3","1","and brought","H5375"
"348","2Sa","6","4","1","And they brought","H5375"
"349","2Sa","6","13","1","And it was so, that when they that bare","H5375"
"350","2Sa","8","2","1","and brought","H5375"
"351","2Sa","8","6","1","and brought","H5375"
"352","2Sa","13","34","1","lifted up","H5375"
"353","2Sa","13","36","1","and lifted up","H5375"
"354","2Sa","14","14","1","respect","H5375"
"355","2Sa","15","24","1","were with him, bearing","H5375"
"356","2Sa","17","13","1","bring","H5375"
"357","2Sa","18","15","1","that bare","H5375"
"358","2Sa","18","24","1","and lifted up","H5375"
"359","2Sa","18","28","1","that lifted up","H5375"
"360","2Sa","19","42","1","cost? or hath he given","H5375"
"361","2Sa","20","21","1","hath lifted up","H5375"
"362","2Sa","23","16","1","and took","H5375"
"363","2Sa","23","37","1","armourbearer","H5375"
"364","1Ki","2","26","1","because thou barest","H5375"
"365","1Ki","5","9","1","there, and thou shalt receive","H5375"
"366","1Ki","5","15","1","that bare","H5375"
"367","1Ki","8","3","1","took up","H5375"
"368","1Ki","8","31","1","be laid","H5375"
"369","1Ki","9","11","1","had furnished","H5375"
"370","1Ki","10","2","1","that bare","H5375"
"371","1Ki","10","11","1","that brought","H5375"
"372","1Ki","10","22","1","bringing","H5375"
"373","1Ki","13","29","1","took up","H5375"
"374","1Ki","14","28","1","bare","H5375"
"375","1Ki","15","22","1","and they took","H5375"
"376","1Ki","18","12","1","shall carry","H5375"
"377","2Ki","2","16","1","hath taken him up,","H5375"
"378","2Ki","3","14","1","I regard","H5375"
"379","2Ki","4","19","1","Carry","H5375"
"380","2Ki","4","20","1","And when he had taken","H5375"
"381","2Ki","4","36","1","Take up","H5375"
"382","2Ki","4","37","1","and took up","H5375"
"383","2Ki","5","1","1","and honourable,","H5375"
"384","2Ki","5","23","1","and they bare","H5375"
"385","2Ki","7","8","2","and carried","H5375"
"386","2Ki","7","8","3","and carried","H5375"
"387","2Ki","9","25","2","Take up,","H5375"
"388","2Ki","9","25","3","laid","H5375"
"389","2Ki","9","26","1","Now therefore take","H5375"
"390","2Ki","9","32","1","And he lifted up","H5375"
"391","2Ki","14","10","1","hath lifted thee up:","H5375"
"392","2Ki","14","20","1","And they brought","H5375"
"393","2Ki","18","14","1","on me will I bear.","H5375"
"394","2Ki","19","4","1","wherefore lift up","H5375"
"395","2Ki","19","22","1","and lifted up","H5375"
"396","2Ki","20","17","1","shall be carried","H5375"
"397","2Ki","23","4","1","and carried","H5375"
"398","2Ki","25","13","1","and carried","H5375"
"399","2Ki","25","27","1","did lift up","H5375"
"400","1Ch","5","18","1","able to bear","H5375"
"401","1Ch","10","4","2","to his armourbearer,","H5375"
"402","1Ch","10","4","3","me. But his armourbearer","H5375"
"403","1Ch","10","5","1","And when his armourbearer","H5375"
"404","1Ch","10","9","1","him, they took","H5375"
"405","1Ch","10","12","1","and took away","H5375"
"406","1Ch","11","18","1","and took","H5375"
"407","1Ch","11","39","1","the armourbearer","H5375"
"408","1Ch","12","24","1","that bare","H5375"
"409","1Ch","14","2","1","was lifted up","H5375"
"410","1Ch","15","2","2","None ought to carry","H5375"
"411","1Ch","15","2","3","to carry","H5375"
"412","1Ch","15","15","1","bare","H5375"
"413","1Ch","15","26","1","that bare","H5375"
"414","1Ch","15","27","1","that bare","H5375"
"415","1Ch","16","29","1","bring","H5375"
"416","1Ch","18","2","1","and brought","H5375"
"417","1Ch","18","6","1","and brought","H5375"
"418","1Ch","18","11","1","that he brought","H5375"
"419","1Ch","21","16","1","lifted up","H5375"
"420","1Ch","21","24","1","for I will not take","H5375"
"421","1Ch","23","22","1","took","H5375"
"422","1Ch","23","26","1","they shall no more carry","H5375"
"423","1Ch","27","23","1","took","H5375"
"424","2Ch","5","4","1","took up","H5375"
"425","2Ch","6","22","1","be laid","H5375"
"426","2Ch","9","1","1","that bare","H5375"
"427","2Ch","9","21","1","bringing","H5375"
"428","2Ch","11","21","1","(for he took","H5375"
"429","2Ch","12","11","1","and fetched","H5375"
"430","2Ch","13","21","1","and married","H5375"
"431","2Ch","14","8","2","of men that bare","H5375"
"432","2Ch","14","8","3","that bare","H5375"
"433","2Ch","14","13","1","and they carried away","H5375"
"434","2Ch","16","6","1","and they carried away","H5375"
"435","2Ch","24","3","1","took","H5375"
"436","2Ch","24","11","1","and took","H5375"
"437","2Ch","25","19","1","lifteth thee up","H5375"
"438","2Ch","25","28","1","And they brought","H5375"
"439","2Ch","32","23","1","so that he was magnified","H5375"
"440","Ezr","1","4","1","help","H5375"
"441","Ezr","8","36","1","and they furthered","H5375"
"442","Ezr","9","2","1","For they have taken","H5375"
"443","Ezr","9","12","1","neither take","H5375"
"444","Ezr","10","44","2","All these had taken","H5375"
"445","Ezr","10","44","3","H5375","H5375"
"446","Neh","2","1","1","him: and I took up","H5375"
"447","Neh","4","17","1","and they that bare","H5375"
"448","Neh","5","7","1","H5375","H5375"
"449","Neh","9","15","1","H5375","H5375"
"450","Neh","13","25","1","nor take","H5375"
"451","Est","2","9","1","him, and she obtained","H5375"
"452","Est","2","15","1","obtained","H5375"
"453","Est","2","17","1","and she obtained","H5375"
"454","Est","3","1","1","and advanced","H5375"
"455","Est","5","2","1","that she obtained","H5375"
"456","Est","5","11","1","him, and how he had advanced","H5375"
"457","Est","9","3","1","helped","H5375"
"458","Job","2","12","2","And when they lifted up","H5375"
"459","Job","2","12","3","him not, they lifted up","H5375"
"460","Job","6","2","1","laid","H5375"
"461","Job","7","13","1","shall ease","H5375"
"462","Job","7","21","1","And why dost thou not pardon","H5375"
"463","Job","10","15","1","yet will I not lift up","H5375"
"464","Job","11","15","1","For then shalt thou lift up","H5375"
"465","Job","13","8","1","Will ye accept","H5375"
"466","Job","13","10","1","accept","H5375"
"467","Job","13","14","1","Wherefore do I take","H5375"
"468","Job","21","3","1","Suffer","H5375"
"469","Job","21","12","1","They take","H5375"
"470","Job","22","8","1","and the honourable man","H5375"
"471","Job","22","26","1","and shalt lift up","H5375"
"472","Job","24","10","1","and they take away","H5375"
"473","Job","27","1","1","H5375","H5375"
"474","Job","27","21","1","wind carrieth him away,","H5375"
"475","Job","29","1","1","H5375","H5375"
"476","Job","30","22","1","Thou liftest me up","H5375"
"477","Job","31","36","1","Surely I would take","H5375"
"478","Job","32","21","1","Let me not, I pray you, accept","H5375"
"479","Job","32","22","1","take me away.^","H5375"
"480","Job","34","19","1","How much less to him that accepteth","H5375"
"481","Job","34","31","1","I have borne","H5375"
"482","Job","36","3","1","I will fetch","H5375"
"483","Job","40","20","1","bring him forth","H5375"
"484","Job","42","8","1","will I accept:","H5375"
"485","Job","42","9","1","also accepted","H5375"
"486","Psa","4","6","1","lift thou up","H5375"
"487","Psa","7","6","1","lift up","H5375"
"488","Psa","10","12","1","lift up","H5375"
"489","Psa","15","3","1","nor taketh up","H5375"
"490","Psa","16","4","1","take up","H5375"
"491","Psa","24","4","1","who hath not lifted up","H5375"
"492","Psa","24","5","1","He shall receive","H5375"
"493","Psa","24","7","2","Lift up","H5375"
"494","Psa","24","7","3","and be ye lift up,","H5375"
"495","Psa","24","9","2","Lift up","H5375"
"496","Psa","24","9","3","even lift them up,","H5375"
"497","Psa","25","1","1","do I lift up","H5375"
