"","Book","Ch","Vs","Incr","Transl","Strongs"
"498","Psa","25","18","1","and forgive","H5375"
"499","Psa","28","2","1","unto thee, when I lift up","H5375"
"500","Psa","28","9","1","them also, and lift them up","H5375"
"501","Psa","32","1","1","is forgiven,","H5375"
"502","Psa","32","5","1","and thou forgavest","H5375"
"503","Psa","50","16","1","or that thou shouldest take","H5375"
"504","Psa","55","12","1","me; then I could have borne","H5375"
"505","Psa","63","4","1","I will lift up","H5375"
"506","Psa","69","7","1","Because for thy sake I have borne","H5375"
"507","Psa","72","3","1","shall bring","H5375"
"508","Psa","81","2","1","Take","H5375"
"509","Psa","82","2","1","and accept","H5375"
"510","Psa","83","2","1","thee have lifted up","H5375"
"511","Psa","85","2","1","Thou hast forgiven","H5375"
"512","Psa","86","4","1","do I lift up","H5375"
"513","Psa","88","15","1","up: while I suffer","H5375"
"514","Psa","89","50","1","how I do bear","H5375"
"515","Psa","91","12","1","They shall bear thee up","H5375"
"516","Psa","93","3","2","have lifted up,","H5375"
"517","Psa","93","3","3","have lifted up","H5375"
"518","Psa","93","3","4","lift up","H5375"
"519","Psa","94","2","1","Lift up","H5375"
"520","Psa","96","8","1","bring","H5375"
"521","Psa","99","8","1","that forgavest","H5375"
"522","Psa","102","10","1","for thou hast lifted me up,","H5375"
"523","Psa","106","26","1","Therefore he lifted up","H5375"
"524","Psa","116","13","1","I will take","H5375"
"525","Psa","119","48","1","also will I lift up","H5375"
"526","Psa","121","1","1","I will lift up","H5375"
"527","Psa","123","1","1","Unto thee lift I up","H5375"
"528","Psa","126","6","2","bearing","H5375"
"529","Psa","126","6","3","bringing","H5375"
"530","Psa","134","2","1","Lift up","H5375"
"531","Psa","139","9","1","If I take","H5375"
"532","Psa","139","20","1","take","H5375"
"533","Psa","143","8","1","for I lift up","H5375"
"534","Pro","6","35","1","He will not regard","H5375"
"535","Pro","9","12","1","thou alone shalt bear","H5375"
"536","Pro","18","5","1","to accept","H5375"
"537","Pro","18","14","1","who can bear?^","H5375"
"538","Pro","19","18","1","spare","H5375"
"539","Pro","19","19","1","shall suffer","H5375"
"540","Pro","30","13","1","are lifted up.^","H5375"
"541","Pro","30","21","1","bear:^","H5375"
"542","Pro","30","32","1","in lifting up","H5375"
"543","Ecc","5","15","1","and shall take","H5375"
"544","Ecc","5","19","1","thereof, and to take","H5375"
"545","Sng","5","7","1","took away","H5375"
"546","Isa","1","14","1","to bear","H5375"
"547","Isa","2","2","1","and shall be exalted","H5375"
"548","Isa","2","4","1","shall not lift up","H5375"
"549","Isa","2","9","1","himself: therefore forgive","H5375"
"550","Isa","2","12","1","and upon every one that is lifted up;","H5375"
"551","Isa","2","13","1","and lifted up,","H5375"
"552","Isa","2","14","1","that are lifted up,^","H5375"
"553","Isa","3","3","1","and the honourable","H5375"
"554","Isa","3","7","1","shall he swear,","H5375"
"555","Isa","5","26","1","And he will lift up","H5375"
"556","Isa","6","1","1","and lifted up,","H5375"
"557","Isa","8","4","1","shall be taken away","H5375"
"558","Isa","9","15","1","H5375","H5375"
"559","Isa","10","24","1","and shall lift up","H5375"
"560","Isa","10","26","1","so shall he lift it up","H5375"
"561","Isa","11","12","1","And he shall set up","H5375"
"562","Isa","13","2","1","Lift ye up","H5375"
"563","Isa","14","4","1","That thou shalt take up","H5375"
"564","Isa","15","7","1","shall they carry away","H5375"
"565","Isa","18","3","1","ye, when he lifteth up","H5375"
"566","Isa","22","6","1","bare","H5375"
"567","Isa","24","14","1","They shall lift up","H5375"
"568","Isa","30","6","1","they will carry","H5375"
"569","Isa","30","25","1","and upon every high","H5375"
"570","Isa","33","10","1","now will I lift up","H5375"
"571","Isa","33","24","1","therein shall be forgiven","H5375"
"572","Isa","37","4","1","wherefore lift up","H5375"
"573","Isa","37","23","1","and lifted up","H5375"
"574","Isa","38","21","1","Let them take","H5375"
"575","Isa","39","6","1","shall be carried","H5375"
"576","Isa","40","4","1","shall be exalted,","H5375"
"577","Isa","40","11","1","and carry","H5375"
"578","Isa","40","24","1","shall take","H5375"
"579","Isa","40","26","1","Lift up","H5375"
"580","Isa","41","16","1","shall carry them away,","H5375"
"581","Isa","42","2","1","nor lift up,","H5375"
"582","Isa","42","11","1","thereof lift up","H5375"
"583","Isa","45","20","1","that set up","H5375"
"584","Isa","46","3","1","which are carried","H5375"
"585","Isa","46","4","1","and I will bear;","H5375"
"586","Isa","46","7","1","They bear","H5375"
"587","Isa","49","18","1","Lift up","H5375"
"588","Isa","49","22","2","Behold, I will lift up","H5375"
"589","Isa","49","22","3","shall be carried","H5375"
"590","Isa","51","6","1","Lift up","H5375"
"591","Isa","52","8","1","shall lift up","H5375"
"592","Isa","52","11","1","that bear","H5375"
"593","Isa","52","13","1","and extolled,","H5375"
"594","Isa","53","4","1","he hath borne","H5375"
"595","Isa","53","12","1","and he bare","H5375"
"596","Isa","57","7","1","and high","H5375"
"597","Isa","57","13","1","shall carry them all away;","H5375"
"598","Isa","57","15","1","and lofty One","H5375"
"599","Isa","60","4","1","Lift up","H5375"
"600","Isa","60","6","1","they shall bring","H5375"
"601","Isa","63","9","1","them, and carried","H5375"
"602","Isa","64","6","1","have taken us away.^","H5375"
"603","Isa","66","12","1","ye shall be borne","H5375"
"604","Jer","3","2","1","Lift up","H5375"
"605","Jer","4","6","1","Set up","H5375"
"606","Jer","6","1","1","and set up","H5375"
"607","Jer","7","16","1","neither lift up","H5375"
"608","Jer","7","29","1","and take up","H5375"
"609","Jer","9","10","1","will I take up","H5375"
"610","Jer","9","18","1","and take up","H5375"
"611","Jer","10","5","2","not: they must needs","H5375"
"612","Jer","10","5","3","be borne,","H5375"
"613","Jer","10","19","1","and I must bear","H5375"
"614","Jer","11","14","1","neither lift up","H5375"
"615","Jer","13","20","1","Lift up","H5375"
"616","Jer","15","15","1","that for thy sake I have suffered","H5375"
"617","Jer","17","21","1","and bear","H5375"
"618","Jer","17","27","1","and not to bear","H5375"
"619","Jer","22","27","1","whereunto they desire","H5375"
"620","Jer","31","19","1","because I did bear","H5375"
"621","Jer","44","14","1","to the which they have","H5375"
"622","Jer","44","22","1","no longer bear,","H5375"
"623","Jer","49","29","1","they shall take","H5375"
"624","Jer","50","2","1","and set up","H5375"
"625","Jer","51","9","1","and is lifted up","H5375"
"626","Jer","51","12","1","Set up","H5375"
"627","Jer","51","27","1","Set ye up","H5375"
"628","Jer","52","17","1","and carried","H5375"
"629","Jer","52","31","1","lifted up","H5375"
"630","Lam","2","19","1","lift up","H5375"
"631","Lam","3","27","1","that he bear","H5375"
"632","Lam","3","41","1","Let us lift up","H5375"
"633","Lam","4","16","1","them: they respected","H5375"
"634","Lam","5","13","1","They took","H5375"
"635","Eze","1","19","2","were lifted up","H5375"
"636","Eze","1","19","3","were lifted up.^","H5375"
"637","Eze","1","20","1","were lifted up","H5375"
"638","Eze","1","21","2","and when those were lifted up","H5375"
"639","Eze","1","21","3","were lifted up","H5375"
"640","Eze","3","12","1","took me up,","H5375"
"641","Eze","3","14","1","lifted me up,","H5375"
"642","Eze","4","4","1","upon it thou shalt bear","H5375"
"643","Eze","4","5","1","so shalt thou bear","H5375"
"644","Eze","4","6","1","and thou shalt bear","H5375"
"645","Eze","8","3","1","lifted me up","H5375"
"646","Eze","8","5","2","lift up","H5375"
"647","Eze","8","5","3","So I lifted up","H5375"
"648","Eze","10","7","1","and took","H5375"
"649","Eze","10","16","1","lifted up","H5375"
"650","Eze","10","19","1","lifted up","H5375"
"651","Eze","11","1","1","lifted me up,","H5375"
"652","Eze","11","22","1","lift up","H5375"
"653","Eze","11","24","1","took me up,","H5375"
"654","Eze","12","6","1","shalt thou bear","H5375"
"655","Eze","12","7","1","and I bare","H5375"
"656","Eze","12","12","1","them shall bear","H5375"
"657","Eze","14","10","1","And they shall bear","H5375"
"658","Eze","16","52","2","bear","H5375"
"659","Eze","16","52","3","also, and bear","H5375"
"660","Eze","16","54","1","That thou mayest bear","H5375"
"661","Eze","16","58","1","Thou hast borne","H5375"
"662","Eze","17","8","1","and that it might bear","H5375"
"663","Eze","17","9","1","to pluck it up","H5375"
"664","Eze","17","14","1","that it might not lift itself up,","H5375"
"665","Eze","17","23","1","it: and it shall bring forth","H5375"
"666","Eze","18","6","1","neither hath lifted up","H5375"
"667","Eze","18","12","1","and hath lifted up","H5375"
"668","Eze","18","15","1","neither hath lifted up","H5375"
"669","Eze","18","19","1","bear","H5375"
"670","Eze","18","20","2","shall not bear","H5375"
"671","Eze","18","20","3","bear","H5375"
"672","Eze","19","1","1","Moreover take thou up","H5375"
"673","Eze","20","5","2","and lifted up","H5375"
"674","Eze","20","5","3","when I lifted","H5375"
"675","Eze","20","6","1","that I lifted up","H5375"
"676","Eze","20","15","1","Yet also I lifted up","H5375"
"677","Eze","20","23","1","I lifted up","H5375"
"678","Eze","20","28","1","for the which I lifted up","H5375"
"679","Eze","20","31","1","For when ye offer","H5375"
"680","Eze","20","42","1","for the which I lifted up","H5375"
"681","Eze","23","27","1","so that thou shalt not lift up","H5375"
"682","Eze","23","35","1","therefore bear","H5375"
"683","Eze","23","49","1","upon you, and ye shall bear","H5375"
"684","Eze","26","17","1","And they shall take up","H5375"
"685","Eze","27","2","1","take up","H5375"
"686","Eze","27","32","1","they shall take up","H5375"
"687","Eze","28","12","1","take up","H5375"
"688","Eze","29","15","1","neither shall it exalt","H5375"
"689","Eze","29","19","1","and he shall take","H5375"
"690","Eze","32","2","1","take up","H5375"
"691","Eze","32","24","1","yet have they borne","H5375"
"692","Eze","32","25","1","yet have they borne","H5375"
"693","Eze","32","30","1","and bear","H5375"
"694","Eze","33","25","1","and lift up","H5375"
"695","Eze","34","29","1","neither bear","H5375"
"696","Eze","36","6","1","because ye have borne","H5375"
"697","Eze","36","7","2","I have lifted up","H5375"
"698","Eze","36","7","3","you, they shall bear","H5375"
"699","Eze","36","8","1","and yield","H5375"
"700","Eze","36","15","1","any more, neither shalt thou bear","H5375"
"701","Eze","38","13","1","to carry away","H5375"
"702","Eze","39","10","1","So that they shall take","H5375"
"703","Eze","39","26","1","After that they have borne","H5375"
"704","Eze","43","5","1","took me up,","H5375"
"705","Eze","44","10","1","they shall even bear","H5375"
"706","Eze","44","12","2","therefore have I lifted up","H5375"
"707","Eze","44","12","3","and they shall bear","H5375"
"708","Eze","44","13","1","place: but they shall bear","H5375"
"709","Eze","45","11","1","may contain","H5375"
"710","Eze","47","14","1","concerning the which I lifted up","H5375"
"711","Dan","1","16","1","took away","H5375"
"712","Dan","8","3","1","Then I lifted up","H5375"
"713","Dan","10","5","1","Then I lifted up","H5375"
"714","Dan","11","12","1","And when he hath taken away","H5375"
"715","Dan","11","14","1","shall exalt","H5375"
"716","Hos","1","6","2","but I will utterly","H5375"
"717","Hos","1","6","3","take them away.^","H5375"
"718","Hos","4","8","1","and they set","H5375"
"719","Hos","5","14","1","I will take away,","H5375"
"720","Hos","13","1","1","he exalted","H5375"
"721","Hos","14","2","1","unto him, Take away","H5375"
"722","Joe","2","22","1","beareth","H5375"
"723","Amo","4","2","1","upon you, that he will take you away","H5375"
"724","Amo","5","1","1","which I take up","H5375"
"725","Amo","5","26","1","But ye have borne","H5375"
"726","Amo","6","10","1","shall take him up,","H5375"
"727","Jon","1","12","1","unto them, Take me up,","H5375"
"728","Jon","1","15","1","So they took up","H5375"
"729","Mic","2","2","1","and take them away:","H5375"
"730","Mic","2","4","1","shall one take up","H5375"
"731","Mic","4","1","1","and it shall be exalted","H5375"
"732","Mic","4","3","1","shall not lift up","H5375"
"733","Mic","6","16","1","therefore ye shall bear","H5375"
"734","Mic","7","9","1","I will bear","H5375"
"735","Mic","7","18","1","like unto thee, that pardoneth","H5375"
"736","Nah","1","5","1","is burned","H5375"
"737","Hab","1","3","1","are before me: and there are that raise up","H5375"
"738","Hab","2","6","1","Shall not all these take up","H5375"
"739","Hab","3","10","1","and lifted up","H5375"
"740","Hag","2","12","1","bear","H5375"
"741","Hag","2","19","1","hath not brought forth:","H5375"
"742","Zec","1","18","1","Then lifted I up","H5375"
"743","Zec","1","21","2","did lift up","H5375"
"744","Zec","1","21","3","which lifted up","H5375"
"745","Zec","2","1","1","I lifted up","H5375"
"746","Zec","5","1","1","and lifted up","H5375"
"747","Zec","5","5","1","unto me, Lift up","H5375"
"748","Zec","5","7","1","And, behold, there was lifted up","H5375"
"749","Zec","5","9","2","Then lifted I up","H5375"
"750","Zec","5","9","3","and they lifted up","H5375"
"751","Zec","6","1","1","and lifted up","H5375"
"752","Zec","6","13","1","and he shall bear","H5375"
"753","Mal","1","8","1","with thee, or accept","H5375"
"754","Mal","1","9","1","will he regard","H5375"
"755","Mal","2","3","1","and one shall take you away","H5375"
"756","Mal","2","9","1","but have been partial","H5375"
"757","Exo","34","9","1","and pardon","H5545"
"758","Lev","4","20","1","for them, and it shall be forgiven","H5545"
"759","Lev","4","26","1","and it shall be forgiven","H5545"
"760","Lev","4","31","1","for him, and it shall be forgiven","H5545"
"761","Lev","4","35","1","and it shall be forgiven","H5545"
"762","Lev","5","10","1","and it shall be forgiven","H5545"
"763","Lev","5","13","1","of these, and it shall be forgiven","H5545"
"764","Lev","5","16","1","and it shall be forgiven","H5545"
"765","Lev","5","18","1","it not, and it shall be forgiven","H5545"
"766","Lev","6","7","1","and it shall be forgiven","H5545"
"767","Lev","19","22","1","shall be forgiven","H5545"
"768","Num","14","19","1","Pardon,","H5545"
"769","Num","14","20","1","I have pardoned","H5545"
"770","Num","15","25","1","and it shall be forgiven","H5545"
"771","Num","15","26","1","And it shall be forgiven","H5545"
"772","Num","15","28","1","for him; and it shall be forgiven","H5545"
"773","Num","30","5","1","shall forgive","H5545"
"774","Num","30","8","1","shall forgive","H5545"
"775","Num","30","12","1","shall forgive","H5545"
"776","Deu","29","20","1","not spare","H5545"
"777","1Ki","8","30","1","forgive.^","H5545"
"778","1Ki","8","34","1","and forgive","H5545"
"779","1Ki","8","36","1","and forgive","H5545"
"780","1Ki","8","39","1","and forgive,","H5545"
"781","1Ki","8","50","1","And forgive","H5545"
"782","2Ki","5","18","2","pardon","H5545"
"783","2Ki","5","18","3","pardon","H5545"
"784","2Ki","24","4","1","not pardon.^","H5545"
"785","2Ch","6","21","1","forgive.^","H5545"
"786","2Ch","6","25","1","and forgive","H5545"
"787","2Ch","6","27","1","and forgive","H5545"
"788","2Ch","6","30","1","and forgive,","H5545"
"789","2Ch","6","39","1","and forgive","H5545"
"790","2Ch","7","14","1","and will forgive","H5545"
"791","Psa","25","11","1","pardon","H5545"
"792","Psa","103","3","1","Who forgiveth","H5545"
"793","Isa","55","7","1","pardon.^","H5545"
"794","Jer","5","1","1","and I will pardon","H5545"
"795","Jer","5","7","1","shall I pardon","H5545"
"796","Jer","31","34","1","for I will forgive","H5545"
"797","Jer","33","8","1","against me; and I will pardon","H5545"
"798","Jer","36","3","1","that I may forgive","H5545"
"799","Jer","50","20","1","for I will pardon","H5545"
"800","Lam","3","42","1","thou hast not pardoned.^","H5545"
"801","Dan","9","19","1","forgive;","H5545"
"802","Amo","7","2","1","forgive,","H5545"
"803","Psa","86","5","1","and ready to forgive;","H5546"
"804","Neh","9","17","1","ready to pardon,","H5547"
"805","Psa","130","4","1","But there is forgiveness","H5547"
"806","Dan","9","9","1","and forgivenesses,","H5547"
"807","Mat","26","28","1","the remission","G859"
"808","Mar","1","4","1","the remission","G859"
"809","Mar","3","29","1","forgiveness,","G859"
"810","Luk","1","77","1","the remission","G859"
"811","Luk","3","3","1","the remission","G859"
"812","Luk","4","18","2","deliverance","G859"
"813","Luk","4","18","3","liberty","G859"
"814","Luk","24","47","1","remission","G859"
"815","Act","2","38","1","the remission","G859"
"816","Act","5","31","1","forgiveness","G859"
"817","Act","10","43","1","remission","G859"
"818","Act","13","38","1","the forgiveness","G859"
"819","Act","26","18","1","forgiveness","G859"
"820","Eph","1","7","1","the forgiveness","G859"
"821","Col","1","14","1","even the forgiveness","G859"
"822","Heb","9","22","1","remission.^","G859"
"823","Heb","10","18","1","remission","G859"
"824","Mat","3","15","2","Suffer","G863"
"825","Mat","3","15","3","he suffered","G863"
"826","Mat","4","11","1","leaveth","G863"
"827","Mat","4","20","1","left","G863"
"828","Mat","4","22","1","left","G863"
"829","Mat","5","24","1","Leave","G863"
"830","Mat","5","40","2","let","G863"
"831","Mat","5","40","3","have","G863"
"832","Mat","6","12","2","forgive","G863"
"833","Mat","6","12","3","forgive","G863"
"834","Mat","6","14","2","ye forgive","G863"
"835","Mat","6","14","3","forgive","G863"
"836","Mat","6","15","2","âž” ye forgive","G863"
"837","Mat","6","15","3","forgive","G863"
"838","Mat","7","4","1","Let","G863"
"839","Mat","8","15","1","left","G863"
"840","Mat","8","22","1","let","G863"
"841","Mat","9","2","1","be forgiven","G863"
"842","Mat","9","5","1","be forgiven","G863"
"843","Mat","9","6","1","to forgive","G863"
"844","Mat","12","31","2","shall be forgiven","G863"
"845","Mat","12","31","3","shall","G863"
"846","Mat","12","31","4","be forgiven","G863"
"847","Mat","12","32","2","it shall be forgiven","G863"
"848","Mat","12","32","3","it shall","G863"
"849","Mat","12","32","4","be forgiven","G863"
"850","Mat","13","30","1","Let","G863"
"851","Mat","13","36","2","sent","G863"
"852","Mat","13","36","3","away,","G863"
"853","Mat","15","14","2","Let","G863"
"854","Mat","15","14","3","alone:","G863"
"855","Mat","18","12","2","doth he","G863"
"856","Mat","18","12","3","leave","G863"
"857","Mat","18","21","1","I forgive","G863"
"858","Mat","18","27","1","forgave","G863"
"859","Mat","18","32","1","I forgave","G863"
"860","Mat","18","35","1","forgive","G863"
"861","Mat","19","14","1","Suffer","G863"
"862","Mat","19","27","1","have forsaken","G863"
"863","Mat","19","29","1","that hath forsaken","G863"
"864","Mat","22","22","1","left","G863"
"865","Mat","22","25","1","left","G863"
"866","Mat","23","13","1","suffer ye","G863"
"867","Mat","23","23","2","have omitted","G863"
"868","Mat","23","23","3","to leave","G863"
"869","Mat","23","23","4","undone.^","G863"
"870","Mat","23","38","1","is left","G863"
"871","Mat","24","2","2","There shall","G863"
"872","Mat","24","2","3","be left","G863"
"873","Mat","24","40","1","left.^","G863"
"874","Mat","24","41","1","left.^","G863"
"875","Mat","26","44","1","he left","G863"
"876","Mat","26","56","1","forsook","G863"
"877","Mat","27","49","1","Let be,","G863"
"878","Mat","27","50","1","yielded up","G863"
"879","Mar","1","18","1","they forsook","G863"
"880","Mar","1","20","1","they left","G863"
"881","Mar","1","31","1","left","G863"
"882","Mar","1","34","1","suffered","G863"
"883","Mar","2","5","1","be forgiven","G863"
"884","Mar","2","7","1","forgive","G863"
"885","Mar","2","9","1","be forgiven","G863"
"886","Mar","2","10","1","to forgive","G863"
"887","Mar","3","28","1","shall be forgiven","G863"
"888","Mar","4","12","1","should be forgiven","G863"
"889","Mar","4","36","1","when they had sent away","G863"
"890","Mar","5","19","1","suffered","G863"
"891","Mar","5","37","1","he suffered","G863"
"892","Mar","7","8","1","laying aside","G863"
"893","Mar","7","12","1","ye suffer","G863"
"894","Mar","7","27","1","Let","G863"
"895","Mar","8","13","1","he left","G863"
"896","Mar","10","14","1","Suffer","G863"
"897","Mar","10","28","1","have left","G863"
"898","Mar","10","29","1","hath left","G863"
"899","Mar","11","6","2","they let","G863"
"900","Mar","11","6","3","go.^","G863"
"901","Mar","11","16","2","would","G863"
"902","Mar","11","16","3","suffer","G863"
"903","Mar","11","25","2","forgive,","G863"
"904","Mar","11","25","3","may forgive","G863"
"905","Mar","11","26","2","do","G863"
"906","Mar","11","26","3","forgive,","G863"
"907","Mar","11","26","4","will","G863"
"908","Mar","11","26","5","forgive","G863"
"909","Mar","12","12","1","they left","G863"
"910","Mar","12","19","1","leave","G863"
"911","Mar","12","20","1","left","G863"
"912","Mar","12","21","1","left","G863"
"913","Mar","12","22","1","left","G863"
"914","Mar","13","2","2","there shall","G863"
"915","Mar","13","2","3","be left","G863"
"916","Mar","13","34","1","who left","G863"
"917","Mar","14","6","2","Let","G863"
"918","Mar","14","6","3","alone;","G863"
"919","Mar","14","50","1","forsook","G863"
"920","Mar","15","36","1","Let alone;","G863"
"921","Mar","15","37","1","cried","G863"
"922","Luk","4","39","1","it left","G863"
"923","Luk","5","11","1","they forsook","G863"
"924","Luk","5","20","1","are forgiven","G863"
"925","Luk","5","21","1","forgive","G863"
"926","Luk","5","23","1","be forgiven","G863"
"927","Luk","5","24","1","to forgive","G863"
"928","Luk","6","42","1","let me","G863"
"929","Luk","7","47","2","are forgiven;","G863"
"930","Luk","7","47","3","is forgiven,","G863"
"931","Luk","7","48","1","are forgiven.^","G863"
"932","Luk","7","49","1","forgiveth","G863"
"933","Luk","8","51","1","he suffered","G863"
"934","Luk","9","60","1","Let","G863"
"935","Luk","10","30","1","leaving","G863"
"936","Luk","11","4","2","forgive","G863"
"937","Luk","11","4","3","forgive","G863"
"938","Luk","11","42","2","to leave","G863"
"939","Luk","11","42","3","undone.^","G863"
"940","Luk","12","10","2","it shall be forgiven","G863"
"941","Luk","12","10","3","it shall","G863"
"942","Luk","12","10","4","be forgiven.^","G863"
"943","Luk","12","39","1","have suffered","G863"
"944","Luk","13","8","2","let","G863"
"945","Luk","13","8","3","alone","G863"
"946","Luk","13","35","1","is left","G863"
"947","Luk","17","3","1","forgive","G863"
"948","Luk","17","4","1","thou shalt forgive","G863"
"949","Luk","17","34","1","shall be left.^","G863"
"950","Luk","17","35","1","left.^","G863"
"951","Luk","17","36","1","left.^","G863"
"952","Luk","18","16","1","Suffer","G863"
"953","Luk","18","28","1","have left","G863"
"954","Luk","18","29","1","hath left","G863"
"955","Luk","19","44","2","they shall","G863"
"956","Luk","19","44","3","leave","G863"
"957","Luk","21","6","2","there shall","G863"
"958","Luk","21","6","3","be left","G863"
"959","Luk","23","34","1","forgive","G863"
"960","Jhn","4","3","1","He left","G863"
"961","Jhn","4","28","1","left","G863"
"962","Jhn","4","52","1","left","G863"
"963","Jhn","8","29","2","hath","G863"
"964","Jhn","8","29","3","left","G863"
"965","Jhn","10","12","1","leaveth","G863"
"966","Jhn","11","44","1","let him","G863"
"967","Jhn","11","48","2","we let","G863"
"968","Jhn","11","48","3","alone,","G863"
"969","Jhn","12","7","2","Let","G863"
"970","Jhn","12","7","3","alone:","G863"
"971","Jhn","14","18","2","I will","G863"
"972","Jhn","14","18","3","leave","G863"
"973","Jhn","14","27","1","I leave","G863"
"974","Jhn","16","28","1","I leave","G863"
"975","Jhn","16","32","1","shall leave","G863"
"976","Jhn","18","8","1","let","G863"
"977","Jhn","20","23","2","ye remit,","G863"
"978","Jhn","20","23","3","they are remitted","G863"
"979","Act","8","22","1","may be forgiven","G863"
"980","Act","14","17","1","he left","G863"
"981","Rom","1","27","1","leaving","G863"
"982","Rom","4","7","1","are forgiven,","G863"
"983","1Co","7","11","2","let","G863"
"984","1Co","7","11","3","put away","G863"
"985","1Co","7","12","2","let him","G863"
"986","1Co","7","12","3","put","G863"
"987","1Co","7","12","4","away.^","G863"
"988","1Co","7","13","2","let her","G863"
"989","1Co","7","13","3","leave","G863"
"990","Heb","2","8","1","he left","G863"
"991","Heb","6","1","1","leaving","G863"
"992","Jas","5","15","1","they shall be forgiven","G863"
"993","1Jo","1","9","1","forgive","G863"
"994","1Jo","2","12","1","are forgiven","G863"
"995","Rev","2","4","1","thou hast left","G863"
"996","Rev","11","9","2","shall","G863"
"997","Rev","11","9","3","suffer","G863"
"998","Luk","7","21","1","he gave","G5483"
"999","Luk","7","42","1","he frankly forgave","G5483"
"1000","Luk","7","43","1","he forgave","G5483"
"1001","Act","3","14","1","to be granted","G5483"
"1002","Act","25","11","1","deliver","G5483"
"1003","Act","25","16","1","to deliver","G5483"
"1004","Act","27","24","1","hath given","G5483"
"1005","Rom","8","32","2","shall he","G5483"
"1006","Rom","8","32","3","freely give","G5483"
"1007","1Co","2","12","1","the things that are freely given","G5483"
"1008","2Co","2","7","1","to forgive","G5483"
"1009","2Co","2","10","2","ye forgive","G5483"
"1010","2Co","2","10","3","forgave","G5483"
"1011","2Co","2","10","4","I forgave","G5483"
"1012","2Co","12","13","1","forgive","G5483"
"1013","Gal","3","18","1","gave","G5483"
"1014","Eph","4","32","2","forgiving","G5483"
"1015","Eph","4","32","3","hath forgiven","G5483"
"1016","Phl","1","29","1","it is given","G5483"
"1017","Phl","2","9","1","given","G5483"
"1018","Col","2","13","1","having forgiven","G5483"
"1019","Col","3","13","2","forgiving","G5483"
"1020","Col","3","13","3","forgave","G5483"
"1021","Phm","1","22","1","I shall be given","G5483"
